ab su
öğüt nasihat
ömür hayat 
önce evvel
önder lider
önemli mühim
öneri teklif
önlem tedbir
örgüt teşkilat
örneğin mesele
örnek misal
öteki diğeri
ötürü dolayı
öykü hikaye
özel hususi
özen itina
özgün orijinal
özgür hür
özlem hasret
pabuç ayakkabı
padişah hükümdar 
paha değer
pak temiz
pakt anlaşma
parantez ayraç
pasak kir
pasaklı kirli
pasif tepkisiz
pinti cimri
pis kirli
politika siyaset
problem sorun
radde derece
radyatör petek
rağmen karşın
raket tokaç
rakım yükselti
rastlantı tesadüf
rey oy
risale kitapçık
riya ikiyüzlülük
romantik duygusal
rötar gecikme
rötuş düzeltme
ruhsat izin
rulo tomar
rutubet nem
rüya düş
rüzgar yel
saadet mutluluk
sade yalın
sağlık sıhhat
saha alan
sahil kıyı
saldırı hücum
samimi içten
sanayi endüstri
sandalye iskemle
savaş harp
saz çalgı
sebep neden
sene yıl
sermaye kapital
serüven macera
sevinç mutluluk
sıçan fare
sıhhat sağlık
sınav imtihan
sınıf derslik
sır giz
sima yüz
siyah kara
siyaset politika
soluk nefes
son nihayet
sonbahar güz
sonuç netice
sorumluluk mesuliyet
sorun mesele
soylu asil
sömestir yarıyıl
söylev nutuk
sözcük kelime
sözlük lügatsulh 
suni yapay
surat yüz
sürat hız
sürekli devamlı
şafak tan
şahıs kişi
şahit tanık
şair ozan
şaka latife
şans talih
şark doğu
şart koşul
şayet eğer
şef lider
şehir kent
şekil biçim
şen neşeli
şeref onur
şuur bilinç
şüphe kuşku
tabiat doğa
tabii doğal
tabip hekim 
talebe öğrenci
talih şans
tamir onarım
tane adet
tanık şahit
tanım tarif
tapınak mabet
taraf yan
tarım ziraat
tarif tanım
tartışma münakaşa
tasdik onay
taviz ödün
tebrik kutlama
tecrübe deney
tedbir önlem
teklif öneri
tekrar yine
temel esas
tercüme çeviri
tertip düzen
tesadüf rastlantı
tesir etki
toplum cemiyet
tören merasim
tren şimendifer
tuhaf garip
tutsak esir
tuvalet hela 
tüm bütün
tümör ur
tümce cümle
uçak tayyare
ufak küçük
uğraş iş
ulu yüce
ulus millet
umumi genel
umut ümit
unsur öğe
us akıl
usta ehil
uyarı ikaz
uygar medeni
uyum ahenk
uzak ırak
uzay feza
ücra sapa
üçkağıtçı dolandırıcı
ülke memleket
ülkü ideal
üleş pay
üleşmek bölüşmek 
ülke memleket 
ümit umut
ünite birim
ünlü meşhur
üstat usta
üstün faik
ürün mahsul 
üye aza
vaka olay
vakit zaman
varlıklı zengin
varsıl zengin
vasıta araç
vatan yurt
vazife görev
vaziyet durum
vesika belge
veteriner baytar
vilayet il
viraj dönemeç
vücut gövde
yalın sade
yan taraf
yanıt cevap
yapay suni
yapıt eser
yar uçurum
yaratık mahluk
yardımcı muavin
yargıç hakim
yas matem
yasa kanun
yaş ıslak
yaşam hayat 
yaşlı ihtiyar
yazım imla
yekün toplam
yel rüzgar
yemek aş
yerel mahalli
yetenek kabiliyet
yıl sene
yine tekrar
yitik kayıp
yoksul fakir 
yöntem metot
yurt vatan
yüce ulu
yürek kalp
yüz surat
yüzyıl asır
zabit subay
zaman vakit
zarar ziyan
zehir agu
zengin varlıklı 
zeybek efe
zırnık metelik
zıt karşıt
ziraat tarım
ziyan zarar
